topic_id,topic_abbr,topic,date,standard_id,required_reading,req_chapter,optional_reading,opt_chapter,writing_assignment,project_assignment,slides,link,code
1,data_science,What is Data Science?,9/7/22,,,,,,,,[Day 1 Slides](slides/Day1-Intro.html),[Spinelli Center](https://www.smith.edu/qlc/tutoring.html);[Getting Started with Slack](https://slack.com/help/articles/218080037-Getting-started-for-new-Slack-users),
2,setup,Infrastructure Set-up,9/9/22,,,,,,Fill out First Day of Class Questionnaire in Moodle;Complete Syllabus Quiz in Moodle;Contact me if you will be using a Chromebook,,,[Configuring Git Set-up Instructions](getting-started.html),
3,datasets_variables,Data Fundamentals,9/12/22,1,,,,,,,[Day 2 Slides](slides/Day2-DataFundamentals.html),[Day 2 Activity](exercises/data-fundamentals.html),
4,intro_r,Introduction to R,9/14/22,1,irizarryIntroductionDataScience2022,2. R Basics,,,,,[Day 3 Slides](slides/Day3-RFundamentals.html),[Day 3 Activity](https://github.com/sds-192-intro-fall22/class-activities),
5,datasets_lab,Lab: Understanding Datasets,9/16/22,1,,,,,,,,[Lab 1 Instructions](labs/lab1.html);[Problem-Solving Lab Instructions](labs/problem-solving.html),[Lab Templates](https://classroom.github.com/a/5AONAxLS)
6,grammar_graphics,Grammar of Graphics,9/19/22,3,baumerModernDataScience2021,2. Data Visualization,,,,,[Day 4 Slides](slides/Day4-Visualizations.html),[Day 4 Activity](exercises/visualizations.html),
7,viz_conventions,Visualization Conventions,9/21/22,,,,,,[Problem-Solving Lab](labs/problem-solving.html) Due;[Lab 1](labs/lab1.html) Due,,[Day 5 Slides](slides/Day5-ggplot.html),[ggplot2 cheatsheet](https://www.maths.usyd.edu.au/u/UG/SM/STAT3022/r/current/Misc/data-visualization-2.1.pdf);Navigate to RStudio and switch the project called `class-activities`. Then click the blue downward arrow in the Git tab to pull the new activity into your environment.,
8,designing_graphics_lab,Lab: Designing Effective Data Visualizations,9/23/22,3,,,,,[Study Plan](learning-styles.html) Due,,,[Lab 2 Instructions](labs/lab2.html),[Lab 2 Templates](https://classroom.github.com/a/Igowa82U)
9,frequency_Plots,Frequency Plots,9/26/22,4,ismayModernDiveStatistical2021,2. Data Visualization,,,Complete CATME Survey,,[Day 6 Slides](slides/Day6-Frequency.html),[ggplot2 cheatsheet](https://www.maths.usyd.edu.au/u/UG/SM/STAT3022/r/current/Misc/data-visualization-2.1.pdf);Navigate to RStudio and switch the project called `class-activities`. Then click the blue downward arrow in the Git tab to pull the new activity into your environment.,
10,mountain,Mountain Day!,9/28/22,4,,,,,[Lab 2](labs/lab2.html) Due,,,,
